H	L	meanH	varH	pvalNorm	dataset	gwas	contrasts
1.00626237202823e-05	145073	1.00794699368746e-05	1.74100878111515e-13	1.52483111432765e-14	InUKBB	e5	England-NorthernIreland
9.55323100147845e-06	145073	9.57113282795476e-06	1.97164541029169e-13	1.04345163255768e-09	InUKBB	e5	England-RepublicOfIrelend
9.92193018802059e-06	145073	9.93966562993762e-06	1.93312255169505e-13	2.81189409779963e-12	InUKBB	e5	England-Scotland
9.66383238803279e-06	145073	9.6804031516042e-06	1.68853214269745e-13	7.7660328055749e-12	InUKBB	e5	England-Wales
1.19379472196248e-05	145073	1.19539490875366e-05	1.60904983598606e-13	1.4191146750492e-36	InUKBB	e5	NorthernIreland-RepublicOfIrelend
1.14493900661674e-05	145073	1.14650014377456e-05	1.52021551312209e-13	7.52769155041769e-32	InUKBB	e5	NorthernIreland-Scotland
1.01435274847176e-05	145073	1.01597138639258e-05	1.61134893503412e-13	2.80620452038608e-16	InUKBB	e5	NorthernIreland-Wales
1.22714154881221e-05	145073	1.22880785006116e-05	1.7665261780807e-13	8.58670617029731e-38	InUKBB	e5	RepublicOfIrelend-Scotland
9.91599773644114e-06	145073	9.93306413969507e-06	1.80488680180126e-13	5.57822921955815e-13	InUKBB	e5	RepublicOfIrelend-Wales
9.74013278835109e-06	145073	9.7564998918771e-06	1.64257970427098e-13	1.0720997405397e-12	InUKBB	e5	Scotland-Wales
1.01208874819239e-05	145126	1.01377100673326e-05	1.73873249277885e-13	4.70704797727895e-15	InUKBB	e10	England-NorthernIreland
9.40665361896025e-06	145126	9.42452411488929e-06	1.94602865935047e-13	5.86406480806155e-09	InUKBB	e10	England-RepublicOfIrelend
9.88408958686285e-06	145126	9.90179639944642e-06	1.92151325038275e-13	4.27347940612266e-12	InUKBB	e10	England-Scotland
8.84078862557396e-06	145126	8.85737054385988e-06	1.65712698591528e-13	8.30648218737192e-07	InUKBB	e10	England-Wales
1.19059823901064e-05	145126	1.19219690213646e-05	1.61345954864557e-13	4.44319321632885e-36	InUKBB	e10	NorthernIreland-RepublicOfIrelend
1.15310291343315e-05	145126	1.15466235763578e-05	1.5223106946134e-13	6.39616165117117e-33	InUKBB	e10	NorthernIreland-Scotland
9.93446249540378e-06	145126	9.95063608685146e-06	1.59857184934746e-13	1.33753142726533e-14	InUKBB	e10	NorthernIreland-Wales
1.2109055384133e-05	145126	1.21256945501878e-05	1.74907475234171e-13	4.9288653580871e-36	InUKBB	e10	RepublicOfIrelend-Scotland
9.81714643054168e-06	145126	9.8341855335069e-06	1.77497360632985e-13	1.87256233326973e-12	InUKBB	e10	RepublicOfIrelend-Wales
9.2510787136004e-06	145126	9.26743949721778e-06	1.62289216033789e-13	2.32106725717437e-09	InUKBB	e10	Scotland-Wales
8.27617005301293e-06	145247	8.29297418885429e-06	1.69574598176009e-13	0.000364093622788524	InUKBB	e50	England-NorthernIreland
6.33988750223184e-06	145247	6.35773812892351e-06	1.89058438937764e-13	0.894947867485085	InUKBB	e50	England-RepublicOfIrelend
6.67918727132603e-06	145247	6.69689012763166e-06	1.86591343504307e-13	0.682981368256512	InUKBB	e50	England-Scotland
8.53900609316948e-06	145247	8.55555264670802e-06	1.64111026371931e-13	2.21974439210196e-05	InUKBB	e50	England-Wales
1.13601188323986e-05	145247	1.13760746999787e-05	1.59671688848841e-13	2.04479463230804e-29	InUKBB	e50	NorthernIreland-RepublicOfIrelend
1.14979189491446e-05	145247	1.15134809653929e-05	1.50633065321051e-13	7.00545682639243e-33	InUKBB	e50	NorthernIreland-Scotland
9.06297702592127e-06	145247	9.07913091676305e-06	1.57624289229302e-13	2.05259296949497e-08	InUKBB	e50	NorthernIreland-Wales
1.11134327519671e-05	145247	1.11300405960723e-05	1.71389462052896e-13	8.56200225353485e-25	InUKBB	e50	RepublicOfIrelend-Scotland
7.55557194229482e-06	145247	7.57259540228649e-06	1.73673144375432e-13	0.0537526469909753	InUKBB	e50	RepublicOfIrelend-Wales
8.22922613716679e-06	145247	8.24557316243515e-06	1.60075805194992e-13	0.000389416275058036	InUKBB	e50	Scotland-Wales
8.09799431433704e-06	145217	8.11468885254088e-06	1.67402174479407e-13	0.00153004115026234	InUKBB	e200	England-NorthernIreland
6.50294142664574e-06	145217	6.52065456577129e-06	1.86577875828887e-13	0.812565249226015	InUKBB	e200	England-RepublicOfIrelend
7.03949098902663e-06	145217	7.05706187777499e-06	1.85361101764419e-13	0.360942780333905	InUKBB	e200	England-Scotland
8.86494688150712e-06	145217	8.88138118432578e-06	1.62870412477215e-13	4.71997696415592e-07	InUKBB	e200	England-Wales
1.16559310631157e-05	145217	1.16717935179065e-05	1.59371127713757e-13	3.33672606401162e-33	InUKBB	e200	NorthernIreland-RepublicOfIrelend
1.13060045609306e-05	145217	1.13214924064224e-05	1.4930680571705e-13	1.34665734057169e-30	InUKBB	e200	NorthernIreland-Scotland
9.02405452364372e-06	145217	9.04011550737878e-06	1.55403738126305e-13	2.93066730536079e-08	InUKBB	e200	NorthernIreland-Wales
1.21255778392341e-05	145217	1.2142078064984e-05	1.73916963090233e-13	1.67936541721275e-36	InUKBB	e200	RepublicOfIrelend-Scotland
7.94140727921311e-06	145217	7.95831467850398e-06	1.7205725782601e-13	0.0054827528984698	InUKBB	e200	RepublicOfIrelend-Wales
8.6078322326443e-06	145217	8.62407802324562e-06	1.59460375502133e-13	8.11701929608428e-06	InUKBB	e200	Scotland-Wales
