#FID	IID	POP
2416276	2416276	Europe
2091441	2091441	Europe
1364436	1364436	Europe
1878861	1878861	Europe
2660975	2660975	Europe
5404174	5404174	Europe
2551791	2551791	Europe
1325269	1325269	Europe
2937652	2937652	Europe
3996070	3996070	Europe
3534252	3534252	Europe
1653212	1653212	Europe
2076424	2076424	Europe
2650886	2650886	Europe
5549695	5549695	Europe
4204266	4204266	Europe
4558148	4558148	Europe
5731631	5731631	Europe
3972833	3972833	Europe
1635928	1635928	Europe
3008331	3008331	Europe
3501998	3501998	Europe
5875417	5875417	Europe
3434012	3434012	Europe
2053702	2053702	Europe
4331898	4331898	Europe
1329428	1329428	Europe
5347830	5347830	Europe
4812750	4812750	Europe
4007064	4007064	Europe
5315609	5315609	Europe
4477912	4477912	Europe
4550819	4550819	Europe
4858830	4858830	Europe
1228860	1228860	Europe
5825684	5825684	Europe
5698320	5698320	Europe
2011909	2011909	Europe
4247675	4247675	Europe
4353579	4353579	Europe
3343351	3343351	Europe
3859979	3859979	Europe
4591474	4591474	Europe
1748699	1748699	Europe
4248417	4248417	Europe
4908244	4908244	Europe
4492556	4492556	Europe
2790331	2790331	Europe
4000576	4000576	Europe
2246509	2246509	Europe
2349453	2349453	Europe
5009386	5009386	Europe
2232897	2232897	Europe
2002222	2002222	Europe
3866152	3866152	Europe
4763030	4763030	Europe
5257991	5257991	Europe
1877296	1877296	Europe
1481314	1481314	Europe
5783154	5783154	Europe
4973089	4973089	Europe
2740928	2740928	Europe
4581461	4581461	Europe
3956129	3956129	Europe
1278736	1278736	Europe
1683318	1683318	Europe
4207634	4207634	Europe
2387455	2387455	Europe
5283093	5283093	Europe
3495387	3495387	Europe
2969708	2969708	Europe
2204250	2204250	Europe
5443834	5443834	Europe
5450939	5450939	Europe
5408812	5408812	Europe
1573593	1573593	Europe
3260855	3260855	Europe
3877685	3877685	Europe
2885622	2885622	Europe
3192541	3192541	Europe
5750357	5750357	Europe
1206458	1206458	Europe
1927431	1927431	Europe
1987790	1987790	Europe
5934636	5934636	Europe
4143680	4143680	Europe
3517093	3517093	Europe
2484012	2484012	Europe
2318070	2318070	Europe
2136153	2136153	Europe
2354665	2354665	Europe
3826585	3826585	Europe
5233484	5233484	Europe
5157442	5157442	Europe
3059808	3059808	Europe
5821654	5821654	Europe
3324198	3324198	Europe
2776354	2776354	Europe
4833572	4833572	Europe
3356174	3356174	Europe
5118966	5118966	Europe
2067993	2067993	Europe
